fg_playerID,person_id,person_full_name,fWAR,pick_round,pick_number,year,person_birth_state_province,person_height,person_weight,home_state,person_primary_position_abbreviation,person_bat_side_code,person_pitch_hand_code,mlb_played_first,mlb_played_last,high_school
15429,592178,Kris Bryant,31.6,1,2,2013,NV,77,230,nv,RF,R,R,2015,2023,No
11739,592663,J.T. Realmuto,31.5,3,104,2010,OK,73,212,ok,C,R,R,2014,2023,Yes
117,122989,B.J. Surhoff,31.4,1,1,1985,NY,73,215,ny,LF,L,R,1987,2005,No
1375,123608,John Valentin,31.4,5,121,1988,NY,72,180,ny,SS,R,R,1992,2002,No
791,408252,Brandon Phillips,31.4,2,57,1999,NC,72,211,ga,2B,R,R,2002,2018,Yes
1012316,122573,Chris Speier,31.3,11,235,1968,CA,73,182,ca,SS,R,R,1971,1989,Yes
1009051,119246,Rick Monday,31.1,1,1,1965,AR,75,200,ar,CF,L,L,1966,1984,No
899,123678,Mo Vaughn,31.1,1,23,1989,CT,73,275,ct,1B,L,R,1991,2003,No
8252,452254,Hunter Pence,31.1,2,64,2004,TX,76,216,tx,RF,R,R,2007,2020,No
1005361,115474,Mike Hargrove,31,25,572,1972,TX,72,195,tx,1B,L,L,1974,1985,No
4229,435062,Howie Kendrick,31,10,294,2002,FL,71,225,fl,2B,R,R,2006,2020,No
1008255,118433,Gary Matthews,30.7,1,17,1968,CA,75,190,ca,LF,R,R,1972,1987,Yes
1572,424825,Coco Crisp,30.6,7,222,1999,CA,70,185,ca,CF,S,R,2002,2016,No
9077,456715,Lorenzo Cain,30.5,17,496,2004,GA,74,214,fl,CF,R,R,2010,2022,Yes
385,114465,Travis Fryman,30.4,1000,30,1987,KY,73,205,fl,3B,R,R,1990,2002,Yes
4727,453056,Jacoby Ellsbury,30.3,1,23,2005,OR,73,195,or,CF,L,L,2007,2017,No
1935,425903,Kevin Youkilis,30.2,8,243,2001,OH,73,220,oh,1B,R,R,2004,2013,No
1041,117148,Ryan Klesko,30.1,5,114,1989,CA,75,220,ca,1B,L,L,1992,2007,Yes
