fg_playerID,person_id,person_full_name,fWAR,pick_round,pick_number,year,person_birth_state_province,person_height,person_weight,home_state,person_primary_position_abbreviation,person_bat_side_code,person_pitch_hand_code,mlb_played_first,mlb_played_last,high_school
7410,457918,J.A. Happ,21.7,3,92,2004,IL,77,205,il,P,L,L,2007,2021,No
12703,545333,Trevor Bauer,21.7,1,3,2011,CA,73,205,ca,P,R,R,2012,2023,No
40,132220,Jarrod Washburn,21.6,2,31,1995,WI,73,195,wi,P,L,L,1998,2009,No
978,276520,Bronson Arroyo,21.6,3,69,1995,FL,76,190,fl,P,R,R,2000,2017,Yes
232,279782,Jon Garland,21.6,1,10,1997,CA,78,210,ca,P,R,R,2000,2013,Yes
1007284,117439,Dennis Lamp,21.5,3,62,1971,CA,75,210,ca,P,R,R,1977,1992,Yes
1009134,119329,Bob Moose,21.5,18,342,1965,PA,72,200,pa,P,R,R,1967,1976,Yes
13543,605483,Blake Snell,21.4,1000,52,2011,WA,76,225,wa,P,L,L,2016,2023,Yes
6655,518886,Craig Kimbrel,21.3,3,96,2008,AL,72,215,al,P,R,R,2010,2023,No
8173,451596,Yovani Gallardo,21.1,2,46,2004,Michoacan,74,205,tx,P,R,R,2007,2018,Yes
1000606,110604,Jim Barr,21,11,208,1966,CA,75,205,ca,P,R,R,1971,1983,Yes
1012409,122674,Bob Stanley,20.9,9,210,1973,ME,76,215,nj,P,R,R,1977,1989,Yes
1013939,124253,Milt Wilcox,20.9,2,33,1968,HI,74,185,ok,P,R,R,1970,1986,Yes
633,122987,Jeff Suppan,20.8,2,49,1993,OK,74,225,ca,P,R,R,1995,2012,Yes
4849,430599,Joe Blanton,20.8,1,24,2002,TN,75,225,tn,P,R,R,2004,2017,No
9425,450729,Doug Fister,20.8,6,199,2005,CA,80,210,ca,P,L,R,2009,2018,No
6345,502042,Chris Archer,20.8,5,161,2006,NC,74,195,nc,P,R,R,2012,2023,Yes
10123,502043,Kyle Gibson,20.7,1,22,2009,IN,78,200,in,P,R,R,2013,2023,No
9434,572971,Dallas Keuchel,20.7,7,221,2009,OK,74,205,ok,P,L,L,2012,2023,No
19427,669456,Shane Bieber,20.7,4,122,2016,CA,75,200,ca,P,R,R,2018,2023,No
